name,field_office,address_line1,city,state,postal_code,country,phone,address_full,detail_url,latitude,longitude,trac_type_detailed,trac_guaranteed_minimum,trac_average_daily_population,trac_as_of
Pine Prairie ICE Processing Center,New Orleans Field Office,1133 Hampton Dupre Road,Pine Prairie,LA,70576,United States,,"1133 Hampton Dupre Road Pine Prairie, LA 70576 United States",https://www.ice.gov/detain/detention-facilities/pine-prairie-ice-processing-center,30.7886095,-92.42351459999999,IGSA,,909,11/28/2025
Plymouth County Correctional Facility,Boston Field Office,26 Long Pond Road,Plymouth,MA,02360,United States,,"26 Long Pond Road Plymouth, MA 02360 United States",https://www.ice.gov/detain/detention-facilities/plymouth-county-correctional-facility,41.9313647,-70.6510495,IGSA,,509,11/28/2025
Polk County Jail,St. Paul Field Office,1985 NE 51st Place,Des Moines,IA,50313,United States,,"1985 NE 51st Place Des Moines, IA 50313 United States",https://www.ice.gov/detain/detention-facilities/polk-county-jail,41.6534852,-93.587758,USMS IGA,,50,11/28/2025
Port Isabel Service Processing Center,Harlingen Field Office,27991 Buena Vista Blvd.,Los Fresnos,TX,78566,United States,,"27991 Buena Vista Blvd. Los Fresnos, TX 78566 United States",https://www.ice.gov/detain/detention-facilities/port-isabel-service-processing-center,26.1569011,-97.35055609999999,,,,
Pottawattamie County Jail,St. Paul Field Office,1400 Big Lake Road,Council Bluffs,IA,51501,United States,,"1400 Big Lake Road Council Bluffs, IA 51501 United States",https://www.ice.gov/detain/detention-facilities/pottawattamie-county-jail,41.2842697,-95.8653913,USMS IGA,,34,11/28/2025
Prairieland Detention Facility,Dallas Field Office,1209 Sunflower Lane,Alvarado,TX,76009,United States,,"1209 Sunflower Lane Alvarado, TX 76009 United States",https://www.ice.gov/detain/detention-facilities/prairieland-detention-facility,32.4214133,-97.19582779999999,DIGSA,525,571,05/13/2024
Richwood Correctional Center,New Orleans Field Office,180 Pine Bayou Circle,Monroe,LA,71202,United States,,"180 Pine Bayou Circle Monroe, LA 71202 United States",https://www.ice.gov/detain/detention-facilities/richwood-correctional-center,32.4568901,-92.0784706,IGSA,677,1101,11/28/2025
Rio Grande Processing Center,Harlingen Field Office,1001 San Rio Blvd,Laredo,TX,78046,United States,,"1001 San Rio Blvd Laredo, TX 78046 United States",https://www.ice.gov/detain/detention-facilities/rio-grande-detention-center,27.377685,-99.4901498,,,,
River Correctional Center,New Orleans Field Office,26362 Highway 15,Ferriday,LA,71334,United States,,"26362 Highway 15 Ferriday, LA 71334 United States",https://www.ice.gov/detain/detention-facilities/river-correctional-center,31.5971028,-91.5580974,IGSA,361,602,11/28/2025
Rolling Plains Detention Center,Dallas Field Office,118 County Road 206,Haskell,TX,79521,United States,,"118 County Road 206 Haskell, TX 79521 United States",https://www.ice.gov/detain/detention-facilities/rolling-plains-detention-center,33.1771862,-99.7217295,USMS IGA,,12,08/14/2022
San Luis Regional Detention Center,San Diego Field Office,406 North Avenue D,San Luis,AZ,85349,United States,,"406 North Avenue D San Luis, AZ 85349 United States",https://www.ice.gov/detain/detention-facilities/san-luis-regional-detention-center,32.4828449,-114.6835588,IGSA,100,367,11/28/2025
Seneca County Jail,Detroit Field Office,3040 South State Route 100,Tiffin,OH,44883,United States,,"3040 South State Route 100 Tiffin, OH 44883 United States",https://www.ice.gov/detain/detention-facilities/seneca-county-jail,41.0793527,-83.1538747,IGSA,,62,11/28/2025
Sherburne County Jail Services,St. Paul Field Office,13880 Business Center Drive NW,Elk River,MN,55330,United States,,"13880 Business Center Drive NW Elk River, MN 55330 United States",https://www.ice.gov/detain/detention-facilities/sherburne-county-jail-services,45.304588,-93.61912060000002,,,,
South Louisiana ICE Processing Center,New Orleans Field Office,3843 Stagg Ave,Basile,LA,70515,United States,,"3843 Stagg Ave Basile, LA 70515 United States",https://www.ice.gov/detain/detention-facilities/south-louisiana-ice-processing-center,30.4870681,-92.581813,IGSA,700,994,11/28/2025
South Texas ICE Processing Center,San Antonio Field Office,566 Veterans Drive,Pearsall,TX,78061,United States,,"566 Veterans Drive Pearsall, TX 78061 United States",https://www.ice.gov/detain/detention-facilities/south-texas-ice-processing-center,28.8973835,-99.1187908,CDF,1350,1732,11/28/2025
St. Clair County Jail,Detroit Field Office,1170 Michigan Road,Port Huron,MI,48060,United States,,"1170 Michigan Road Port Huron, MI 48060 United States",https://www.ice.gov/detain/detention-facilities/st-clair-county-jail,42.94231130000001,-82.47947909999999,IGSA,,42,11/28/2025
Ste. Genevieve County Detention Center,Chicago Field Office,5 Basler Drive,Ste. Genevieve,MO,63670,United States,,"5 Basler Drive Ste. Genevieve, MO 63670 United States",https://www.ice.gov/detain/detention-facilities/ste-genevieve-county-detention-center,37.9653281,-90.0557269,,,,
Stewart Detention Center,Atlanta Field Office,146 CCA Road,Lumpkin,GA,31815,United States,,"146 CCA Road Lumpkin, GA 31815 United States",https://www.ice.gov/detain/detention-facilities/stewart-detention-center,32.0365622,-84.7713749,DIGSA,1600,2044,11/28/2025
Strafford County Corrections,Boston Field Office,266 County Farm Road,Dover,NH,03820,United States,,"266 County Farm Road Dover, NH 03820 United States",https://www.ice.gov/detain/detention-facilities/strafford-county-corrections,43.218151,-70.9400658,IGSA,,142,11/28/2025
Sweetwater County Detention Center,Denver Field Office,50140 US Highway 191 South,Rock Springs,WY,82901,United States,,"50140 US Highway 191 South Rock Springs, WY 82901 United States",https://www.ice.gov/detain/detention-facilities/sweetwater-county-detention-center,41.5386685,-109.302023,,,,
